Maximum Fitness,Min Fitness,Avarage Fitness
55.63,43.38,50.03
56.88,48.00,54.31
57.00,49.00,55.67
57.00,48.88,56.49
57.00,50.88,56.60
57.00,50.88,56.55
57.00,49.13,56.54
57.00,50.88,56.50
57.00,50.75,56.55
57.00,49.25,56.62
57.00,50.88,56.51
57.00,50.88,56.55
57.00,50.88,56.53
57.13,50.88,56.56
57.13,50.88,56.50
57.13,49.13,56.61
57.13,50.88,56.71
57.13,50.88,56.64
57.13,50.88,56.66
57.13,51.00,56.67
57.13,51.00,56.67
57.13,51.00,56.80
57.13,51.00,56.72
57.13,50.88,56.65
57.13,50.88,56.58
57.13,50.75,56.66
57.13,51.00,56.61
57.13,50.75,56.60
57.75,50.88,56.70
57.75,46.75,56.67
57.75,50.75,57.31
57.75,50.75,57.16
57.75,51.13,57.26
57.75,47.38,57.19
57.75,51.25,57.35
57.75,51.13,57.34
57.88,50.75,57.30
57.88,50.75,57.23
57.88,45.13,57.19
57.88,45.13,57.32
57.88,49.00,57.41
57.88,51.13,57.42
57.88,51.13,57.45
57.88,51.13,57.49
57.88,49.00,57.49
57.88,45.13,57.53
57.88,47.50,57.50
57.88,45.13,57.47
57.88,51.13,57.47
57.88,51.13,57.38
57.88,51.13,57.48
57.88,51.75,57.56
57.88,50.88,57.42
57.88,45.00,57.40
57.88,51.13,57.57
57.88,50.88,57.46
57.88,51.75,57.59
57.88,51.13,57.55
57.88,49.00,57.48
57.88,51.13,57.51
57.88,51.75,57.55
57.88,45.13,57.54
57.88,51.13,57.48
57.88,50.88,57.52
57.88,51.13,57.62
57.88,45.00,57.44
57.88,45.00,57.54
57.88,51.13,57.57
57.88,45.13,57.55
57.88,45.00,57.48
57.88,45.00,57.50
57.88,50.88,57.59
57.88,45.13,57.59
57.88,51.75,57.58
57.88,51.13,57.61
57.88,51.75,57.68
57.88,51.13,57.64
57.88,51.13,57.63
57.88,51.75,57.72
57.88,51.13,57.69
57.88,51.13,57.64
57.88,50.88,57.69
57.88,51.13,57.72
57.88,45.00,57.65
57.88,51.13,57.77
57.88,51.13,57.70
57.88,51.13,57.72
57.88,51.13,57.78
57.88,51.13,57.70
57.88,45.00,57.59
57.88,48.50,57.63
57.88,51.13,57.71
57.88,51.13,57.65
57.88,50.88,57.58
57.88,48.50,57.65
57.88,51.13,57.63
57.88,51.50,57.72
57.88,48.50,57.67
57.88,48.50,57.62
57.88,48.50,57.49
57.88,48.50,57.63
57.88,49.00,57.67
57.88,51.63,57.64
57.88,48.50,57.72
57.88,51.13,57.66
57.88,51.75,57.71
57.88,51.13,57.74
57.88,51.13,57.63
57.88,51.75,57.76
57.88,51.13,57.74
57.88,48.50,57.75
57.88,51.75,57.73
57.88,51.63,57.74
57.88,51.13,57.77
57.88,51.75,57.77
57.88,51.75,57.77
57.88,48.50,57.68
57.88,51.75,57.70
57.88,51.13,57.66
57.88,48.50,57.64
57.88,51.13,57.76
57.88,51.13,57.68
57.88,51.13,57.79
57.88,51.13,57.74
57.88,51.13,57.75
57.88,51.75,57.76
57.88,51.13,57.76
57.88,45.00,57.76
57.88,51.13,57.79
57.88,48.50,57.76
57.88,51.13,57.75
57.88,51.13,57.74
57.88,51.13,57.68
57.88,51.75,57.71
57.88,51.13,57.70
57.88,48.50,57.69
57.88,51.13,57.73
57.88,48.50,57.74
57.88,48.50,57.65
57.88,51.75,57.76
57.88,48.50,57.71
57.88,51.13,57.70
57.88,48.50,57.72
57.88,48.50,57.69
57.88,51.75,57.74
57.88,51.13,57.74
57.88,48.50,57.69
57.88,51.75,57.70
57.88,51.13,57.75
57.88,48.50,57.68
57.88,48.50,57.61
57.88,48.50,57.70
57.88,51.50,57.68
57.88,51.13,57.70
57.88,51.13,57.77
57.88,51.75,57.76
57.88,51.13,57.75
57.88,51.00,57.79
57.88,49.00,57.74
57.88,51.75,57.82
57.88,51.75,57.80
57.88,51.75,57.77
57.88,51.75,57.79
57.88,51.13,57.72
57.88,48.50,57.75
57.88,51.13,57.76
57.88,51.75,57.75
57.88,51.75,57.74
57.88,51.75,57.75
57.88,51.38,57.74
57.88,51.75,57.71
57.88,51.75,57.77
57.88,51.13,57.75
57.88,48.50,57.74
57.88,51.13,57.76
57.88,51.13,57.73
57.88,51.13,57.70
57.88,51.50,57.72
