Maximum Fitness,Min Fitness,Avarage Fitness
58.25,42.88,49.96
59.00,48.63,54.79
59.25,50.00,58.17
59.25,50.75,58.89
59.25,51.00,59.11
59.25,51.00,59.04
59.25,45.88,59.09
59.25,51.00,59.18
59.25,51.00,59.07
59.25,51.00,59.10
59.25,51.00,59.19
59.25,51.00,59.13
59.25,51.00,59.11
59.25,51.00,59.20
59.25,51.00,59.17
59.25,51.00,59.17
59.25,51.00,59.16
59.25,45.88,59.08
59.25,51.00,59.11
59.25,51.00,59.13
59.25,51.00,59.10
59.25,51.00,59.14
59.50,51.00,59.14
59.50,51.00,59.06
59.50,54.13,59.39
59.50,51.25,59.39
59.50,54.37,59.43
59.50,51.25,59.42
59.50,51.25,59.42
59.50,45.88,59.37
59.50,51.25,59.31
59.50,51.25,59.34
59.50,51.25,59.33
59.50,51.25,59.43
59.50,53.87,59.41
59.50,45.88,59.28
59.50,54.13,59.42
59.50,51.25,59.38
59.50,54.13,59.43
59.50,54.13,59.44
59.50,45.88,59.28
59.50,51.25,59.46
59.50,51.25,59.38
59.50,51.25,59.37
59.50,51.25,59.24
59.62,51.25,59.43
59.62,54.13,59.48
59.62,51.38,59.51
59.62,53.87,59.52
59.62,51.38,59.51
59.62,51.38,59.51
59.62,45.88,59.48
59.62,51.38,59.46
59.62,51.38,59.49
59.62,51.38,59.24
59.62,49.00,59.51
59.62,45.88,59.49
59.62,51.38,59.47
59.75,51.38,59.51
59.75,51.38,59.43
59.75,51.50,59.32
59.75,53.63,59.61
59.88,46.38,58.92
59.88,45.88,59.58
59.88,51.63,59.62
59.88,45.88,59.71
59.88,51.63,59.68
59.88,51.63,59.62
59.88,45.88,59.65
59.88,54.13,59.75
59.88,54.13,59.69
59.88,49.00,59.72
59.88,51.63,59.71
59.88,45.88,59.68
59.88,51.63,59.71
59.88,45.88,59.68
59.88,51.63,59.65
59.88,51.63,59.68
59.88,51.63,59.71
59.88,51.63,59.61
59.88,45.88,59.62
59.88,51.50,59.52
59.88,51.63,59.57
59.88,47.00,59.38
59.88,49.00,59.57
59.88,45.88,59.68
59.88,51.63,59.60
59.88,45.88,59.62
59.88,51.63,59.62
59.88,45.88,59.58
59.88,45.88,59.59
59.88,51.63,59.59
59.88,40.75,59.61
59.88,51.63,59.69
59.88,51.63,59.57
59.88,45.88,59.69
59.88,51.63,59.69
59.88,51.63,59.62
59.88,51.63,59.70
59.88,51.63,59.64
59.88,51.63,59.70
59.88,45.88,59.70
59.88,54.13,59.71
59.88,51.63,59.74
59.88,51.63,59.68
59.88,49.88,59.66
59.88,54.13,59.78
59.88,51.63,59.64
59.88,51.63,59.70
59.88,51.63,59.56
59.88,51.63,59.70
59.88,51.63,59.75
59.88,51.13,59.74
59.88,51.63,59.68
59.88,51.63,59.65
59.88,49.88,59.67
59.88,49.88,59.71
59.88,51.63,59.68
59.88,51.63,59.70
59.88,45.88,59.69
59.88,51.63,59.64
59.88,53.75,59.75
59.88,51.63,59.68
59.88,53.75,59.76
59.88,51.63,59.72
59.88,54.13,59.76
59.88,51.50,59.71
59.88,51.63,59.74
59.88,54.13,59.77
59.88,51.63,59.77
59.88,51.63,59.66
59.88,51.63,59.67
59.88,51.63,59.76
59.88,54.13,59.80
59.88,51.63,59.67
59.88,51.63,59.72
59.88,51.63,59.68
59.88,51.63,59.75
59.88,51.63,59.73
59.88,51.63,59.79
59.88,51.63,59.68
59.88,51.63,59.73
59.88,49.88,59.68
59.88,54.13,59.78
59.88,51.63,59.67
59.88,51.63,59.76
59.88,51.63,59.74
59.88,51.63,59.71
59.88,51.63,59.72
59.88,49.13,59.48
59.88,45.88,59.64
59.88,51.25,59.53
59.88,54.13,59.74
59.88,51.63,59.68
59.88,51.63,59.74
59.88,51.63,59.65
59.88,51.63,59.72
59.88,51.63,59.72
59.88,51.63,59.76
59.88,51.63,59.71
59.88,51.63,59.69
59.88,51.63,59.72
59.88,51.63,59.74
59.88,51.63,59.52
59.88,51.63,59.64
59.88,51.63,59.74
59.88,51.63,59.73
59.88,54.13,59.76
59.88,51.63,59.74
59.88,45.88,59.71
59.88,51.63,59.71
59.88,51.63,59.67
59.88,51.63,59.80
59.88,51.63,59.77
59.88,51.63,59.78
59.88,54.13,59.76
59.88,51.63,59.69
59.88,51.63,59.74
59.88,46.50,59.41
59.88,51.63,59.68
59.88,51.63,59.77
59.88,51.63,59.61
59.88,45.88,59.72
59.88,51.63,59.70
59.88,51.63,59.78
59.88,51.63,59.71
59.88,51.63,59.76
59.88,54.13,59.73
59.88,51.63,59.72
59.88,51.63,59.80
59.88,51.63,59.77
59.88,51.63,59.70
59.88,51.63,59.64
59.88,51.63,59.79
59.88,49.88,59.78
59.88,53.87,59.73
59.88,45.88,59.69
59.88,51.63,59.63
59.88,49.88,59.68
59.88,51.63,59.74
59.88,49.88,59.74
59.88,41.88,59.74
59.88,51.63,59.70
59.88,45.88,59.68
59.88,51.63,59.72
59.88,51.63,59.72
59.88,51.63,59.74
59.88,51.63,59.39
59.88,51.63,59.60
59.88,51.63,59.72
59.88,51.13,59.49
59.88,47.00,59.78
59.88,51.63,59.72
59.88,51.63,59.74
59.88,51.63,59.74
59.88,54.13,59.78
59.88,49.88,59.66
59.88,51.63,59.64
59.88,51.63,59.72
59.88,51.63,59.73
59.88,49.88,59.69
59.88,51.63,59.74
59.88,51.63,59.79
59.88,51.63,59.63
59.88,54.13,59.79
59.88,51.63,59.76
59.88,46.00,59.67
59.88,51.63,59.74
59.88,51.63,59.58
59.88,51.63,59.80
59.88,49.88,59.35
59.88,51.63,59.71
59.88,51.63,59.72
59.88,51.63,59.80
59.88,51.63,59.63
59.88,51.50,59.70
59.88,46.50,59.33
59.88,46.50,59.53
60.12,51.63,59.72
60.12,51.63,59.78
60.12,45.88,59.76
60.12,51.88,59.89
60.12,51.88,59.95
60.12,51.88,59.97
60.12,51.88,59.93
60.12,51.88,60.01
60.12,51.88,59.94
60.12,51.88,59.91
60.12,51.00,59.95
60.25,51.88,60.04
60.25,51.88,60.04
60.25,52.00,59.85
60.25,52.00,59.96
60.25,52.00,60.13
60.25,52.00,60.05
60.25,52.00,60.04
60.25,52.00,60.01
60.25,52.00,60.09
60.25,52.00,59.81
60.25,52.00,60.13
60.25,52.00,60.16
60.25,52.00,60.11
60.25,54.13,60.17
60.38,52.00,60.10
60.38,52.00,60.14
60.38,54.13,60.20
60.38,52.13,60.20
60.38,51.00,60.19
60.38,52.13,60.25
60.38,47.00,60.21
60.38,51.00,60.19
60.38,53.25,60.07
60.38,52.13,60.22
60.38,51.00,60.08
60.38,47.00,59.96
60.38,52.13,60.18
60.38,51.00,60.16
60.38,52.13,60.28
60.38,52.13,60.16
60.38,52.13,60.21
60.38,52.13,60.20
60.38,52.13,60.14
60.38,51.00,60.13
60.38,54.13,60.15
60.38,52.13,60.07
60.38,52.13,59.94
60.38,52.13,60.14
60.38,45.88,59.63
60.38,51.00,60.01
60.38,52.13,60.07
60.38,51.00,59.97
60.38,51.00,60.07
60.38,52.13,60.19
60.38,52.13,60.25
60.38,52.13,60.08
60.38,52.13,60.07
60.38,52.13,59.85
60.38,52.13,60.10
60.38,51.25,60.06
60.38,51.00,59.96
60.38,52.13,60.01
60.38,47.00,59.99
60.38,40.75,59.93
60.38,52.13,59.97
60.38,51.00,60.08
60.38,45.88,59.85
60.38,52.13,60.18
60.38,51.00,60.06
60.38,45.88,59.93
60.38,52.13,60.14
60.38,52.13,60.19
60.38,54.13,60.18
60.38,52.13,60.21
60.38,51.25,60.17
60.38,51.00,60.13
60.38,51.00,59.94
60.38,52.13,60.21
60.38,52.13,60.22
60.38,51.00,59.99
60.38,52.13,60.20
60.38,52.13,60.18
60.38,52.13,60.21
60.38,52.13,60.20
60.38,51.00,60.25
60.38,51.00,60.18
60.38,52.13,60.13
60.38,52.13,60.22
60.38,52.13,60.18
60.38,52.13,60.17
60.38,52.13,60.13
60.38,52.13,60.15
60.38,52.13,60.20
60.38,51.00,60.17
60.38,52.13,60.22
60.38,52.13,60.25
60.38,52.13,60.16
60.38,52.13,60.20
60.38,51.00,60.13
60.38,51.00,59.99
60.38,54.00,60.29
60.38,52.13,60.14
60.38,52.13,60.22
60.38,52.13,60.16
60.38,53.25,60.01
60.38,52.13,60.19
60.38,52.13,60.18
60.38,51.00,60.18
60.38,51.00,60.26
60.38,52.13,60.23
60.38,52.13,60.12
60.38,51.00,60.26
60.38,54.13,60.26
60.38,52.13,60.23
60.38,52.13,60.22
60.38,54.13,60.17
60.38,52.13,60.29
60.38,51.00,60.15
60.38,54.13,60.28
60.38,52.13,60.25
60.38,54.13,60.26
60.38,52.13,60.29
60.38,51.00,60.03
60.38,55.25,60.31
60.38,52.13,60.23
60.38,52.13,60.22
60.38,52.13,60.25
60.38,51.00,60.18
60.38,54.13,60.12
60.38,53.25,60.25
60.38,54.13,60.24
60.38,52.13,60.26
60.38,45.88,60.07
60.38,52.13,60.13
60.38,51.00,60.20
60.38,51.00,60.12
60.38,52.13,60.22
60.38,51.00,60.20
60.38,52.13,60.28
60.38,52.13,60.29
60.38,52.13,60.24
60.38,52.13,60.22
60.38,52.13,60.08
60.38,52.13,60.26
60.38,52.13,60.22
60.38,52.13,60.18
60.38,51.00,60.23
60.38,52.13,60.15
60.38,52.13,60.24
60.38,52.13,60.22
60.38,52.13,60.23
60.38,52.13,60.29
60.38,52.13,60.25
60.38,52.13,60.22
60.38,52.13,59.95
60.38,52.13,60.21
60.38,52.13,60.22
60.38,52.13,60.28
60.38,54.13,60.26
60.38,52.13,60.28
60.38,52.13,60.26
60.38,52.13,60.21
60.38,52.13,60.21
60.38,54.13,60.32
60.38,54.00,60.27
60.38,47.00,59.92
60.38,52.13,60.22
60.38,52.13,60.09
60.38,52.13,60.21
60.38,51.00,60.19
60.38,52.13,60.24
60.38,52.13,60.22
60.38,52.13,60.24
60.38,52.13,59.98
60.38,54.13,60.28
60.38,45.88,60.08
60.38,45.88,59.99
60.38,52.13,60.24
60.38,52.13,60.31
60.38,52.13,60.21
60.38,51.00,60.24
60.38,51.00,60.28
60.38,52.13,60.12
60.38,52.13,60.24
60.38,51.00,60.22
60.38,45.88,60.02
60.38,45.00,59.97
60.38,49.00,60.00
60.38,52.13,60.22
60.38,52.13,60.24
60.38,54.13,60.31
60.38,51.88,60.21
60.38,51.00,60.21
60.38,55.25,60.32
60.38,52.13,60.24
60.38,52.13,60.23
60.38,52.13,60.26
60.38,52.13,60.04
60.38,52.13,60.25
60.38,51.00,59.99
60.38,52.13,60.27
60.38,52.13,60.25
60.38,51.00,60.08
60.38,53.87,60.07
60.38,52.13,60.17
60.38,52.13,60.16
60.38,52.13,60.12
60.38,52.13,60.23
60.38,54.13,60.28
60.38,52.13,60.22
60.38,52.13,60.15
60.38,52.13,60.20
60.38,52.13,60.21
60.38,52.13,60.18
60.38,52.13,60.15
60.38,52.13,60.11
60.38,52.13,60.27
60.38,52.13,60.12
60.38,40.75,59.58
60.38,53.25,60.22
60.38,52.13,60.17
60.38,52.13,60.07
60.38,51.00,60.19
60.38,52.13,60.18
60.38,51.00,60.13
60.38,52.13,59.96
60.38,52.13,60.16
60.38,52.13,60.19
60.38,52.13,60.18
60.38,52.13,60.28
60.38,51.00,60.28
60.38,49.00,59.96
60.38,52.13,60.23
60.38,52.13,60.25
60.38,52.13,60.22
60.38,51.00,60.18
60.38,45.88,60.19
60.38,47.00,60.20
60.38,52.13,59.84
60.38,54.13,60.29
60.38,51.00,60.32
60.38,52.13,60.14
60.38,52.13,60.26
60.38,45.88,60.21
60.38,52.13,60.19
60.38,52.13,60.23
60.38,47.00,60.20
60.38,52.13,60.25
60.38,51.00,60.19
60.38,51.00,60.20
60.38,52.13,60.28
60.38,54.13,60.27
60.38,52.13,60.17
60.38,52.13,60.23
60.38,51.00,60.23
60.38,49.88,60.12
60.38,52.13,60.24
60.38,51.00,60.28
60.38,52.13,60.21
60.38,52.13,60.24
60.38,52.13,60.30
60.38,54.13,60.20
60.38,54.13,60.04
