Maximum Fitness,Min Fitness,Avarage Fitness
56.50,43.63,50.05
56.50,48.88,55.35
56.50,49.13,56.41
56.50,49.13,56.45
56.50,44.50,56.40
56.50,49.13,56.40
56.75,49.13,56.39
56.75,49.13,56.43
56.75,49.38,56.65
56.75,49.38,56.68
56.75,49.38,56.65
56.75,49.38,56.64
56.75,49.38,56.66
56.75,49.38,56.64
56.75,49.38,56.60
56.75,49.38,56.63
56.75,49.38,56.65
56.75,49.38,56.63
56.75,49.38,56.66
56.75,49.38,56.64
56.75,49.00,56.62
56.75,49.38,56.66
56.75,49.38,56.66
56.75,49.38,56.64
56.75,49.38,56.66
56.75,49.38,56.64
56.75,49.38,56.65
56.75,49.38,56.65
56.75,49.38,56.71
56.75,49.38,56.67
56.75,49.38,56.71
56.75,49.38,56.65
56.75,49.38,56.65
56.75,49.38,56.70
56.75,49.38,56.66
56.75,49.38,56.63
56.75,49.38,56.64
56.75,49.38,56.68
56.75,49.38,56.63
56.75,49.38,56.69
56.75,49.38,56.67
56.75,49.38,56.68
57.13,49.38,56.67
57.13,49.38,56.73
57.13,49.75,57.04
57.13,49.75,57.03
57.13,49.75,57.07
57.13,49.75,57.04
57.25,49.75,57.05
57.25,49.75,57.07
57.25,49.88,57.14
57.25,49.88,57.14
57.25,49.88,57.17
57.25,49.88,57.15
57.50,49.88,57.16
57.50,49.88,57.15
57.50,50.13,57.45
57.50,50.13,57.42
57.50,50.13,57.43
57.50,50.13,57.43
57.50,50.13,57.40
57.50,50.13,57.41
57.50,50.13,57.43
57.50,50.13,57.43
57.50,50.13,57.41
57.50,50.13,57.45
57.50,50.13,57.45
57.50,50.13,57.46
57.50,50.13,57.38
57.50,50.13,57.45
57.50,50.13,57.43
57.50,50.13,57.45
57.50,50.13,57.42
57.50,50.13,57.45
57.50,50.13,57.46
57.50,50.13,57.45
57.50,50.13,57.46
57.50,52.00,57.48
57.50,50.13,57.43
57.50,50.13,57.43
57.50,50.13,57.45
57.50,50.13,57.46
57.50,50.13,57.41
57.50,50.13,57.41
57.50,50.13,57.46
57.50,50.13,57.44
57.50,50.13,57.46
57.50,50.13,57.45
57.50,50.13,57.45
57.50,50.13,57.44
57.50,51.25,57.48
57.50,50.13,57.45
57.50,50.13,57.45
57.50,50.13,57.44
57.50,50.13,57.43
57.50,50.13,57.47
57.50,50.13,57.44
57.50,50.13,57.44
57.50,50.13,57.43
57.50,50.13,57.40
57.50,50.13,57.41
57.50,50.13,57.46
57.50,50.13,57.42
57.50,50.13,57.40
57.50,50.13,57.40
57.50,50.13,57.43
57.50,50.13,57.46
57.50,50.13,57.42
57.50,50.13,57.45
57.50,50.13,57.45
57.50,50.13,57.42
57.50,49.75,57.42
57.50,50.13,57.43
57.50,50.13,57.46
57.50,50.13,57.48
57.50,50.13,57.44
57.50,50.13,57.45
57.50,50.13,57.43
57.50,50.13,57.42
57.50,50.13,57.46
57.50,50.13,57.45
57.50,50.13,57.45
57.50,50.13,57.47
57.50,50.13,57.45
57.50,50.13,57.45
57.50,50.13,57.44
57.50,50.13,57.43
57.50,50.13,57.40
57.50,43.88,57.43
57.50,50.13,57.45
57.50,50.13,57.45
57.50,50.13,57.43
57.50,50.13,57.44
57.50,50.13,57.45
57.50,50.13,57.45
57.50,50.13,57.42
57.50,50.13,57.41
57.50,50.13,57.45
57.50,50.13,57.41
57.50,50.13,57.41
57.50,50.13,57.40
57.50,50.13,57.40
57.50,50.13,57.42
57.50,50.13,57.44
